Prompting_Approach,Model,Iteration,Distance to Power Transmission Lines,Slope,Distance to Rivers and Lakes,Distance from Fault Lines,Distance to Protected Areas,Land Use,Distance to Bird Migration Routes,Distance to Transformers,Aspect (Slope Direction),Altitude,Distance to Settlements,Solar Radiation,Distance to Airports,Distance to Highways
Chain_of_Thoghts,Claude_3.7,1,0.1689,0.07513,0.02547,0.04036,0.04464,0.08145,0.01732,0.12628,0.04374,0.01846,0.03949,0.26794,0.01341,0.03742
Chain_of_Thoghts,Claude_3.7,2,0.13613,0.04204,0.02302,0.07342,0.07548,0.04639,0.02745,0.11817,0.04974,0.02963,0.08725,0.21913,0.02608,0.04607
Chain_of_Thoghts,Claude_3.7,3,0.17107,0.07078,0.0314,0.03102,0.02743,0.09572,0.01816,0.07446,0.0425,0.06413,0.02477,0.28984,0.01621,0.0425
Chain_of_Thoghts,Claude_3.7_Thinking,1,0.12889,0.06161,0.02348,0.08226,0.04019,0.10973,0.02348,0.10026,0.03441,0.01856,0.04712,0.24708,0.04991,0.03301
Chain_of_Thoghts,Claude_3.7_Thinking,2,0.12003,0.07383,0.02019,0.05819,0.03154,0.12315,0.01815,0.10253,0.0301,0.02926,0.04294,0.25418,0.0503,0.04562
Chain_of_Thoghts,Claude_3.7_Thinking,3,0.10962,0.02661,0.0217,0.06176,0.06301,0.15442,0.02357,0.06176,0.06326,0.02195,0.06176,0.27522,0.02462,0.03073
Chain_of_Thoghts,DeepSeek_R1,1,0.07914,0.04002,0.01039,0.01476,0.01476,0.21862,0.01476,0.12243,0.04698,0.05515,0.01476,0.28768,0.01476,0.0658
Chain_of_Thoghts,DeepSeek_R1,2,0.05664,0.02499,0.01097,0.16506,0.10083,0.14664,0.01349,0.05664,0.02446,0.01181,0.03807,0.29213,0.01349,0.04477
Chain_of_Thoghts,DeepSeek_R1,3,0.04843,0.02728,0.01355,0.09322,0.19522,0.09322,0.01355,0.09322,0.01355,0.09322,0.01355,0.19522,0.01355,0.09322
Chain_of_Thoghts,GPT_4.1,1,0.14863,0.09961,0.05953,0.05286,0.0385,0.0558,0.03747,0.03782,0.02889,0.02409,0.02775,0.30851,0.02197,0.05856
Chain_of_Thoghts,GPT_4.1,2,0.13204,0.0833,0.02396,0.03881,0.01853,0.06618,0.01507,0.13299,0.06579,0.05388,0.0252,0.28706,0.01182,0.04536
Chain_of_Thoghts,GPT_4.1,3,0.16301,0.07211,0.0182,0.02445,0.03293,0.0744,0.02347,0.10057,0.05112,0.07336,0.04253,0.27969,0.02293,0.02122
Chain_of_Thoghts,Gemini_2.5_Pro,1,0.03288,0.01843,0.04768,0.21884,0.09429,0.09429,0.01122,0.02591,0.01051,0.00818,0.05697,0.14352,0.21884,0.01843
Chain_of_Thoghts,Gemini_2.5_Pro,2,0.08326,0.0406,0.02198,0.13381,0.1302,0.09004,0.01763,0.05262,0.0287,0.0086,0.06899,0.2518,0.04828,0.02347
Chain_of_Thoghts,Gemini_2.5_Pro,3,0.0402,0.01846,0.04388,0.09429,0.12592,0.16605,0.05337,0.02608,0.01021,0.01289,0.05828,0.22488,0.10931,0.01617
Chain_of_Thoghts,o3,1,0.155,0.06879,0.03323,0.03718,0.03323,0.08234,0.01951,0.10238,0.0642,0.0525,0.03718,0.25779,0.01951,0.03718
Chain_of_Thoghts,o3,2,0.17765,0.08332,0.01689,0.05547,0.05715,0.11086,0.05199,0.07405,0.06554,0.03469,0.04729,0.19053,0.01034,0.02424
Chain_of_Thoghts,o3,3,0.1661,0.08885,0.01877,0.0561,0.03252,0.1048,0.0169,0.07836,0.05812,0.03019,0.03836,0.26538,0.01927,0.02629
Expert_Panel,Claude_3.7,1,0.14031,0.04081,0.01807,0.04864,0.0791,0.11647,0.03264,0.09995,0.02168,0.03678,0.05051,0.23828,0.02109,0.05567
Expert_Panel,Claude_3.7,2,0.14429,0.06998,0.03352,0.02099,0.05594,0.09605,0.05594,0.09605,0.03352,0.02099,0.04404,0.25179,0.02099,0.05594
Expert_Panel,Claude_3.7,3,0.11861,0.05678,0.0161,0.02826,0.04171,0.10169,0.02719,0.07207,0.03291,0.06199,0.04769,0.31446,0.02106,0.05946
Expert_Panel,Claude_3.7_Thinking,1,0.12946,0.04287,0.02284,0.04152,0.06783,0.14354,0.03731,0.09666,0.02137,0.02108,0.03731,0.27641,0.03015,0.03165
Expert_Panel,Claude_3.7_Thinking,2,0.12913,0.04855,0.0295,0.02878,0.04855,0.14169,0.02878,0.07924,0.04872,0.01887,0.08016,0.25358,0.01887,0.04558
Expert_Panel,Claude_3.7_Thinking,3,0.11685,0.07137,0.03424,0.07435,0.06131,0.1426,0.02579,0.05336,0.0189,0.0189,0.03375,0.28718,0.01597,0.04543
Expert_Panel,DeepSeek_R1,1,0.09374,0.03777,0.01456,0.20598,0.04903,0.12295,0.02265,0.09374,0.01108,0.01108,0.02265,0.23429,0.02265,0.05784
Expert_Panel,DeepSeek_R1,2,0.0752,0.03025,0.01466,0.04588,0.13975,0.22442,0.01466,0.0752,0.01466,0.01466,0.05429,0.20653,0.01466,0.0752
Expert_Panel,DeepSeek_R1,3,0.12085,0.07979,0.01811,0.02374,0.02796,0.19725,0.01811,0.10613,0.0111,0.0111,0.03783,0.23232,0.03827,0.07743
Expert_Panel,GPT_4.1,1,0.08943,0.04451,0.0355,0.04136,0.14208,0.22558,0.0303,0.08421,0.02636,0.0315,0.02424,0.16886,0.01962,0.03644
Expert_Panel,GPT_4.1,2,0.10619,0.05939,0.02236,0.02236,0.0143,0.1895,0.02236,0.10619,0.0398,0.0398,0.02236,0.29373,0.02236,0.03931
Expert_Panel,GPT_4.1,3,0.13272,0.07376,0.02997,0.04647,0.02446,0.06283,0.02031,0.0741,0.03776,0.03874,0.05806,0.33979,0.0212,0.03983
Expert_Panel,Gemini_2.5_Pro,1,0.09041,0.04656,0.03052,0.02019,0.07213,0.18717,0.01453,0.09596,0.04656,0.01409,0.03107,0.2805,0.02052,0.04979
Expert_Panel,Gemini_2.5_Pro,2,0.08535,0.03646,0.01542,0.05842,0.14465,0.18639,0.02306,0.06215,0.03646,0.01564,0.02342,0.2607,0.01542,0.03646
