Model,Iteration,Prompting_Approach,Solar Radiation,Distance to Power Transmission Lines,Land Use,Distance to Transformers,Slope,Distance to Protected Areas,Aspect (Slope Direction),Distance from Fault Lines,Distance to Settlements,Distance to Highways,Altitude,Distance to Rivers and Lakes,Distance to Bird Migration Routes,Distance to Airports
Claude-3.7-Thinking,1,Minimal Context,0.205844,0.099907,0.064747,0.073989,0.047433,0.032823,0.021244,0.039245,0.027728,0.027074,0.013253,0.016414,0.014745,0.010614
Claude-3.7-Thinking,2,Minimal Context,0.236945,0.128673,0.097849,0.100518,0.082765,0.075649,0.051789,0.051436,0.046989,0.036879,0.024389,0.022916,0.021019,0.020289
Claude-3.7-Thinking,3,Minimal Context,0.239458,0.137847,0.108567,0.111256,0.095847,0.088567,0.058847,0.056567,0.051847,0.041567,0.028847,0.025567,0.023567,0.022847
Claude-3.7-Thinking,4,Minimal Context,0.235782,0.128309,0.100152,0.099847,0.081309,0.074152,0.050309,0.050152,0.045309,0.035152,0.023309,0.021152,0.019152,0.019309
Claude-3.7-Thinking,5,Minimal Context,0.264199,0.152892,0.153261,0.159148,0.152715,0.15923,0.081312,0.084218,0.057884,0.053197,0.038544,0.035996,0.035807,0.032029
Claude-3.7-Thinking,6,Minimal Context,0.240518,0.132854,0.106324,0.105324,0.087854,0.081324,0.055854,0.054324,0.049854,0.040324,0.026854,0.024324,0.022324,0.021854
Claude-3.7-Thinking,7,Minimal Context,0.232857,0.127145,0.097154,0.096154,0.079145,0.073154,0.049145,0.048154,0.043145,0.034154,0.021145,0.019154,0.017154,0.016145
Claude-3.7-Thinking,8,Minimal Context,0.241829,0.131768,0.106832,0.105832,0.086768,0.080832,0.054768,0.053832,0.048768,0.039832,0.025768,0.024832,0.022832,0.021768
Claude-3.7-Thinking,9,Minimal Context,0.225835,0.114058,0.084796,0.082796,0.069058,0.061796,0.041058,0.039796,0.037058,0.029796,0.019058,0.018796,0.016796,0.015058
Claude-3.7-Thinking,10,Minimal Context,0.219806,0.131167,0.103438,0.099838,0.078437,0.068038,0.047867,0.045638,0.040637,0.030138,0.020137,0.020638,0.018638,0.017637
Claude-3.7,1,Minimal Context,0.22076,0.088185,0.066269,0.053507,0.044823,0.031835,0.012752,0.05125,0.048585,0.04073,0.016956,0.020919,0.017446,0.017871
